Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1664.5189295039163,2775.982375979112,2415,0.05,2748.3333333333335,2750,2780,Inf,0,2750.977369364155,Inf,2750,2703,-0.9773693641550381,2795
1,3756.545454544872,3532.272727272539,2415,0.045000000000000005,2715,2715,3535,605.1600000000008,0.0049999999999999975,4864.288256224842,4157.496007511426,2803.128693776015,2914,-2061.1595624488273,-Inf
2,2401.2316892799954,3124.3046147404243,2415,0.04,2681.6666666666665,2685,3125,43.55999999999998,0.010000000000000002,3122.583404970011,43.7417032761135,2861.2573875520307,2885.5,-261.32601741798044,3120
3,2400.4121740835126,3165.61850617526,2415,0.035,2648.3333333333335,2650,3170,27.040000000000003,0.015,3168.8896560652493,27.09788851361745,2914.3860813280457,2887.5,-254.5035747372035,3180
4,1914.4556038921437,3087.491120778429,2415,0.030000000000000002,2615,2615,3090,12.69140625,0.02,2956.4717511716535,6.558916322713256,2967.514775104061,2927.5,11.043023932407323,3130
5,1792.8549319993726,3101.4584961700793,2415,0.025,2581.6666666666665,2585,3105,9.7344,0.025,3028.794188199576,7.197228738437853,3025.6434688800764,2915,-3.1507193194997853,3460
6,1728.07202639135,3112.0618241798525,2415,0.020000000000000004,2548.3333333333335,2550,3115,7.980625000000001,0.03,3071.12605598916,6.832805771547293,3078.7721626560915,2932.5,7.646106666931701,3110
7,1674.3052978855594,3147.608881938345,2415,0.015,2515,2515,3150,7.4061734693877534,0.035,3147.5392574819616,7.348884102658124,3131.9008564321066,2963.5,-15.63840104985502,3195
8,1642.5459389732805,3157.13648474332,2415,0.010000000000000002,2481.6666666666665,2485,3160,6.4072265625,0.04,3157.136484743327,6.416148869051016,3190.029550208122,3057,32.8930654647952,3465
9,1798.9652121907347,3233.2250624090398,2415,0.0050000000000000044,2448.3333333333335,2450,3235,6.8469444444444445,0.045,3233.2250624090443,6.845055848571767,3243.1582439841372,2975.5,9.93318157509293,3455
10,1575.8943217665637,3277.9100946372246,2415,0,2415,2415,3280,6.734025000000001,0.05,3277.910094637221,6.701524482841357,3296.2869377601523,3147.5,18.376843122931405,3420
